Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type,Keywords
SHL Verify Interactive - Numerical Reasoning,https://www.shl.com/solutions/products/verify-interactive-numerical-reasoning/,Yes,Yes,25,Cognitive,"['numerical', 'math', 'quantitative', 'analytics', 'data analysis', 'finance', 'accounting', 'engineering']"
SHL Verify Interactive - Verbal Reasoning,https://www.shl.com/solutions/products/verify-interactive-verbal-reasoning/,Yes,Yes,25,Cognitive,"['verbal', 'language', 'comprehension', 'communication', 'writing', 'reading', 'management']"
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/verify-interactive-inductive-reasoning/,Yes,Yes,25,Cognitive,"['inductive', 'logic', 'pattern recognition', 'problem solving', 'analytical thinking']"
SHL General Ability Test,https://www.shl.com/solutions/products/general-ability-test/,Yes,No,30,Cognitive,"['general ability', 'cognitive', 'intelligence', 'aptitude', 'problem solving', 'entry level']"
SHL Occupational Personality Questionnaire (OPQ),https://www.shl.com/solutions/products/occupational-personality-questionnaire/,Yes,No,45,Personality,"['personality', 'traits', 'work style', 'team fit', 'management', 'leadership']"
SHL Situational Judgement Test,https://www.shl.com/solutions/products/situational-judgement-test/,Yes,No,30,Behavioral,"['situational judgment', 'decision making', 'workplace scenarios', 'people management']"
SHL Coding Assessment,https://www.shl.com/solutions/products/coding-assessment/,Yes,No,60,Technical,"['coding', 'programming', 'software development', 'IT', 'computer science', 'developer', 'engineer']"
SHL Motivation Questionnaire (MQ),https://www.shl.com/solutions/products/motivation-questionnaire/,Yes,No,25,Personality,"['motivation', 'drive', 'career goals', 'engagement', 'retention']"
SHL Sales Assessment,https://www.shl.com/solutions/products/sales-assessment/,Yes,No,40,Behavioral,"['sales', 'customer acquisition', 'business development', 'account management', 'relationship building']"
SHL Leadership Assessment,https://www.shl.com/solutions/products/leadership-assessment/,Yes,Yes,45,Behavioral,"['leadership', 'management', 'executive', 'team lead', 'director', 'strategic thinking']"
SHL Microsoft Office Skills Test,https://www.shl.com/solutions/products/microsoft-office-skills-test/,Yes,No,35,Technical,"['Microsoft Office', 'Excel', 'Word', 'PowerPoint', 'admin', 'clerical', 'office support']"
SHL Customer Service Assessment,https://www.shl.com/solutions/products/customer-service-assessment/,Yes,No,30,Behavioral,"['customer service', 'support', 'customer experience', 'help desk', 'call center']"
SHL ADEPT-15 Personality Assessment,https://www.shl.com/solutions/products/adept-15-personality-assessment/,Yes,Yes,25,Personality,"['personality', 'workplace behavior', 'team fit', 'cultural fit']"
SHL Numerical Calculation Test,https://www.shl.com/solutions/products/numerical-calculation-test/,Yes,No,20,Cognitive,"['calculation', 'arithmetic', 'data entry', 'accounting', 'finance', 'bookkeeping']"
SHL Data Visualization Assessment,https://www.shl.com/solutions/products/data-visualization-assessment/,Yes,No,35,Technical,"['data visualization', 'analytics', 'business intelligence', 'reporting', 'dashboards']"
SHL Remote Work Assessment,https://www.shl.com/solutions/products/remote-work-assessment/,Yes,No,25,Behavioral,"['remote work', 'work from home', 'virtual team', 'distributed workforce']"
SHL Mechanical Comprehension Test,https://www.shl.com/solutions/products/mechanical-comprehension-test/,Yes,No,30,Technical,"['mechanical', 'technical', 'engineering', 'manufacturing', 'maintenance']"
SHL Deductive Reasoning Test,https://www.shl.com/solutions/products/deductive-reasoning-test/,Yes,No,25,Cognitive,"['deductive reasoning', 'logic', 'critical thinking', 'analysis', 'problem solving']"
SHL Workplace Reliability Assessment,https://www.shl.com/solutions/products/workplace-reliability-assessment/,Yes,No,20,Behavioral,"['reliability', 'attendance', 'dependability', 'work ethic', 'entry level']"
SHL Graduate Assessment,https://www.shl.com/solutions/products/graduate-assessment/,Yes,Yes,40,Cognitive,"['graduate', 'entry level', 'new hire', 'campus recruiting', 'university']"
